scrape_date,listing_url,year,transmission,mileage,fuel,municipality,color,make,model,price_value,price_currency,price,mileage_raw,age,region
2025-04-28 09:56:03.699619,https://www.merrjep.al/njoftim/c180-portobagazh/15223496,2005,Manual,200000,Benzin,Fier,Blu,Mercedes-Benz,C 180,3600.0,EUR,36000,200 000 - 249 999,20,Other
2025-04-28 09:56:03.699648,https://www.merrjep.al/njoftim/shitet-vogue-autobiography/14997989,2014,Automatik,190000,Dizel / Naftë,Tiranë,E Zezë,Land Rover,Range Rover,28000.0,EUR,280000,190 000 - 199 999,11,Tirane
2025-04-28 09:56:03.699680,https://www.merrjep.al/njoftim/fiat-2022/14693383,2022,Manual,0,Dizel / Naftë,Tiranë,E Bardhë,Fiat,Ducato,17500.0,EUR,175000,0 - 4 999,3,Tirane
2025-04-28 09:56:03.699697,https://www.merrjep.al/njoftim/opel-astra-2013-1-7-nafte-super-gjendje-zvicra/15154893,2013,Automatik,180000,Dizel / Naftë,Durrës,Kafe,Opel,Astra,5300.0,EUR,53000,180 000 - 189 999,12,Durres
2025-04-28 09:56:03.699713,https://www.merrjep.al/njoftim/benz-e250-cdi-4-matic-viti-2014-e-blere-ne-sallon/13672246,2014,Automatik,160000,Dizel / Naftë,Tiranë,E Bardhë,Mercedes-Benz,E 250,12500.0,EUR,125000,160 000 - 169 999,11,Tirane
2025-04-28 09:56:03.699729,https://www.merrjep.al/njoftim/okazion-2015-mercedes-benz-glk-250-bluetec/14500793,2015,Automatik,130000,Dizel / Naftë,Durrës,Gri,Mercedes-Benz,GLK 250,12500.0,EUR,125000,130 000 - 139 999,10,Durres
2025-04-28 09:56:03.699745,https://www.merrjep.al/njoftim/volkswagen-jetta-1-6-tdi-automat/15114802,2012,Automatik,200000,Dizel / Naftë,Vlorë,Gri,VW Volkswagen,Jetta,6699.0,EUR,66990,200 000 - 249 999,13,Vlore
2025-04-28 09:56:03.699760,https://www.merrjep.al/njoftim/okazion-golf-6-2-5-benzine-viti-2012/15223495,2012,Automatik,140000,Benzin,Durrës,Gri,VW Volkswagen,Golf,5999.0,EUR,59990,140 000 - 149 999,13,Durres
2025-04-28 09:56:03.699775,https://www.merrjep.al/njoftim/ford-transit-xl-i-gjate-viti-2019-sapoardhur-nga-zvicra/15190350,2019,Manual,190000,Dizel / Naftë,Tiranë,E Bardhë,Ford,Transit,17300.0,EUR,173000,190 000 - 199 999,6,Tirane
2025-04-28 09:56:03.699790,https://www.merrjep.al/njoftim/vw-transporter-t5-4x4-viti-2012-zvicra-shitet-nderrohet/14957580,2012,Manual,130000,Dizel / Naftë,Tiranë,E Bardhë,VW Volkswagen,T5 Transporter,12900.0,EUR,129000,130 000 - 139 999,13,Tirane
2025-04-28 09:56:03.699806,https://www.merrjep.al/njoftim/mercedes-benz-c-220-cdi-avantgarde-evo-2005/15180132,2005,Manual,300000,Dizel / Naftë,Pogradec,Gri,Mercedes-Benz,C 220,4300.0,EUR,43000,300 000 - 349 999,20,Other
2025-04-28 09:56:03.699835,https://www.merrjep.al/njoftim/shitet-automjet-ambasade-bmw-seria-5-e60/14741755,2007,Automatik,120000,Dizel / Naftë,Tiranë,Blu,BMW,530,8000.0,EUR,80000,120 000 - 129 999,18,Tirane
2025-04-28 09:56:03.699849,https://www.merrjep.al/njoftim/shitet-opel-antara-2008/15013033,2008,Automatik,200000,Dizel / Naftë,Durrës,Kafe,Opel,Antara,5800.0,EUR,58000,200 000 - 249 999,17,Durres
2025-04-28 09:56:03.699864,https://www.merrjep.al/njoftim/e-200-benzin-gaz-automat-gjermania/14657021,2006,Automatik,190000,Gaz (TNG) / Benzinë,Tiranë,E Zezë,Mercedes-Benz,E 200,4700.0,EUR,47000,190 000 - 199 999,19,Tirane
2025-04-28 09:56:03.699879,https://www.merrjep.al/njoftim/volvo-xc-60/14516664,2009,Automatik,180000,Dizel / Naftë,Berat,E Bardhë,Volvo,XC 60,8000.0,EUR,80000,180 000 - 189 999,16,Other
2025-04-28 09:56:03.699894,https://www.merrjep.al/njoftim/golf-vi-1-4-benzine-manual-gjendje-e-shkelqyer/14624726,2009,Manual,200000,Benzin,Tiranë,Gri,VW Volkswagen,Golf,5200.0,EUR,52000,200 000 - 249 999,16,Tirane
2025-04-28 09:56:03.699908,https://www.merrjep.al/njoftim/hyundai-santa-fe-ev-gt-automat-viti-2013-nafte-2-2/14746652,2013,Automatik,150000,Dizel / Naftë,Tiranë,Gri,Hyundai,Santa Fe,12400.0,EUR,124000,150 000 - 159 999,12,Tirane
2025-04-28 09:56:03.699924,https://www.merrjep.al/njoftim/audi-a6-2-0-tdi-2013-full/15222599,2013,Automatik,160000,Dizel / Naftë,Tiranë,E Bardhë,Audi,A6,11700.0,EUR,117000,160 000 - 169 999,12,Tirane
2025-04-28 09:56:03.699938,https://www.merrjep.al/njoftim/ford-focus-titanium-2011-1-6-nafte-eco-tech/14474964,2011,Manual,170000,Dizel / Naftë,Tiranë,Gri,Ford,Focus,4700.0,EUR,47000,170 000 - 179 999,14,Tirane
2025-04-28 09:56:03.699969,https://www.merrjep.al/njoftim/toyota-rav-4/15160214,2006,Manual,200000,Dizel / Naftë,Berat,Gri,Toyota,RAV 4,5000.0,EUR,50000,200 000 - 249 999,19,Other
2025-04-28 09:56:03.699999,https://www.merrjep.al/njoftim/okazion-bmw2000-4000euro-2008/15223479,2007,Manual,300000,Dizel / Naftë,Vlorë,E Zezë,BMW,320,4000.0,EUR,40000,300 000 - 349 999,18,Vlore
2025-04-28 09:56:03.700013,https://www.merrjep.al/njoftim/mercedes-benz-e200-benzine+gaz/14495281,2008,Automatik,200000,Gaz (TNG) / Benzinë,Tiranë,Gri,Mercedes-Benz,E 200,5500.0,EUR,55000,200 000 - 249 999,17,Tirane
2025-04-28 09:56:03.700052,https://www.merrjep.al/njoftim/jetta-automatike-1-6-nafte-nga-gjermania/15085878,2011,Automatik,200000,Dizel / Naftë,Durrës,Gri,VW Volkswagen,Jetta,6500.0,EUR,65000,200 000 - 249 999,14,Durres
2025-04-28 09:56:03.700061,https://www.merrjep.al/njoftim/mercedez-benz-vito-115cdi/14521448,2007,Automatik,200000,Dizel / Naftë,Tiranë,E Kuqe,Mercedes-Benz,Model tjetër,9900.0,EUR,99000,200 000 - 249 999,18,Tirane
2025-04-28 09:56:03.700070,https://www.merrjep.al/njoftim/vw-polo/13617472,2003,Manual,170000,Benzin,Tiranë,Gri,VW Volkswagen,Polo,2200.0,EUR,22000,170 000 - 179 999,22,Tirane
2025-04-28 09:56:03.700077,https://www.merrjep.al/njoftim/renault-laguna/13617813,2010,Automatik,200000,Dizel / Naftë,Tiranë,E Zezë,Renault,Laguna,3500.0,EUR,35000,200 000 - 249 999,15,Tirane
2025-04-28 09:56:03.700086,https://www.merrjep.al/njoftim/vw-polo-2012-benzin-gaz-fabrike-1-6-gjendje-perfekte/14690292,2012,Manual,160000,Gaz (TNG) / Benzinë,Tiranë,Gri,VW Volkswagen,Polo,5290.0,EUR,52900,160 000 - 169 999,13,Tirane
