price,mileage
9500.0,120000
3500.0,15000
4500.0,200000
7900.0,190000
5000.0,190000
3000.0,200000
4800.0,200000
10200.0,100000
7800.0,130000
10200.0,120000
12500.0,140000
4000.0,190000
11700.0,200000
6500.0,190000
5000.0,250000
11000.0,300000
8800.0,160000
6000.0,200000
9900.0,200000
25000.0,190000
4800.0,190000
21900.0,200000
9300.0,160000
7000.0,200000
7999.0,140000
13500.0,200000
14500.0,200000
19999.0,180000
2999.0,200000
3700.0,170000
12500.0,100000
3800.0,100000
10300.0,180000
8000.0,140000
14900.0,160000
9400.0,190000
21500.0,180000
13000.0,60000
6500.0,190000
13900.0,200000
20700.0,170000
7900.0,190000
6900.0,180000
16900.0,20000
7300.0,190000
7900.0,190000
5000.0,190000
3000.0,200000
1.0,45000
4000.0,190000
7500.0,35000
6200.0,25000
6800.0,20000
3200.0,200000
18200.0,190000
8700.0,150000
2500.0,180000
9000.0,150000
20000.0,150000
23800.0,200000
20000.0,140000
22800.0,140000
16500.0,120000
15000.0,130000
12800.0,160000
12800.0,120000
20000.0,250000
10000.0,200000
12500.0,120000
18900.0,90000
4900.0,250000
24500.0,100000
17000.0,170000
8500.0,130000
4600.0,15000
14900.0,170000
15800.0,160000
13000.0,120000
13500.0,120000
16500.0,170000
12800.0,170000
12000.0,110000
20500.0,160000
8500.0,200000
19000.0,130000
15800.0,180000
3000.0,200000
2600.0,200000
4000.0,190000
15.0,140000
8500.0,190000
15.0,140000
5000.0,190000
23500.0,200000
16500.0,150000
7900.0,190000
14500.0,140000
16500.0,170000
5700.0,25000
14000.0,180000
15800.0,120000
16500.0,95000
7800.0,190000
8000.0,150000
11000.0,150000
12500.0,200000
10300.0,20000
5000.0,190000
11900.0,190000
3200.0,20000
14500.0,150000
12900.0,150000
12900.0,170000
16000.0,150000
15000.0,200000
7499.0,170000
6999.0,200000
7800.0,170000
10300.0,200000
8000.0,200000
13500.0,200000
8700.0,200000
15500.0,200000
3500.0,150000
15500.0,150000
5000.0,80000
10200.0,300000
3000.0,200000
15900.0,140000
9490.0,200000
5000.0,190000
7900.0,190000
4000.0,190000
6200.0,25000
3200.0,200000
7800.0,250000
9000.0,150000
1.0,45000
6800.0,20000
7500.0,35000
8700.0,150000
18200.0,190000
2500.0,180000
22800.0,140000
20000.0,150000
23800.0,200000
16500.0,120000
20000.0,250000
12800.0,120000
12800.0,160000
15000.0,130000
20000.0,140000
8500.0,130000
17000.0,170000
10000.0,200000
4900.0,250000
4600.0,15000
24500.0,100000
12500.0,120000
14900.0,170000
18900.0,90000
13000.0,120000
15800.0,160000
12000.0,110000
16500.0,170000
13500.0,120000
12800.0,170000
12900.0,120000
3000.0,200000
5000.0,190000
7499.0,200000
6999.0,170000
10900.0,180000
7900.0,190000
7499.0,200000
4000.0,190000
6999.0,200000
3800.0,250000
11999.0,200000
4500.0,200000
10300.0,200000
10300.0,190000
10800.0,170000
8700.0,190000
